"Profile 1";"Profile 2";"Score"
"22|2|B";"25|2|B";0,384036
"5|1|A";"6|2|A";0,384151
"6|1|B";"28|1|B";0,384282
"5|1|A";"43|1|B";0,384591
"20|1|A";"22|2|B";0,384812
"35|1|A";"42|2|B";0,384861
"5|1|A";"43|2|A";0,384964
"8|1|B";"40|2|B";0,385061
"2|1|A";"10|1|A";0,385477
"2|1|A";"3|2|A";0,385661
"31|2|B";"43|1|B";0,385672
"5|1|A";"21|1|B";0,385767
"21|1|B";"35|1|A";0,38585
"4|2|B";"31|2|B";0,385941
"3|2|A";"36|2|A";0,386222
"25|2|B";"29|1|A";0,38693
"7|1|A";"31|2|B";0,387406
"3|2|A";"25|2|B";0,387865
"5|1|A";"31|2|B";0,387977
"20|1|A";"34|1|A";0,388695
"39|2|A";"43|1|B";0,389561
"23|2|B";"38|1|A";0,389714
"24|1|B";"36|2|A";0,390009
"20|1|A";"24|2|A";0,390231
"25|2|B";"35|1|A";0,39084
"14|2|B";"42|2|B";0,391017
"6|2|A";"21|1|B";0,391158
"25|2|B";"40|1|A";0,391459
"40|2|B";"44|1|A";0,391491
"7|2|B";"43|1|B";0,391617
"27|2|B";"44|1|A";0,391906
"12|2|A";"35|2|B";0,392756
"22|2|B";"24|1|B";0,39281
"8|2|A";"21|2|A";0,393175
"30|2|A";"40|1|A";0,393392
"31|2|B";"39|2|A";0,393645
"17|1|A";"24|2|A";0,393672
"14|2|B";"25|2|B";0,393742
"23|2|B";"40|1|A";0,393825
"19|1|B";"38|2|B";0,393931
"8|2|A";"30|2|A";0,393954
"4|2|B";"31|1|A";0,394925
"14|1|A";"32|1|B";0,394927
"33|2|A";"43|1|B";0,396103
"1|2|A";"25|2|B";0,396379
"8|1|B";"13|1|B";0,396389
"2|1|A";"44|1|A";0,396523
"4|1|A";"42|2|B";0,396781
"33|2|A";"35|2|B";0,396829
"2|2|B";"3|2|A";0,397498
"24|2|A";"26|1|B";0,397501
"16|2|A";"25|2|B";0,397704
"7|2|B";"25|2|B";0,398605
"11|2|B";"34|1|A";0,398939
"5|1|A";"11|2|B";0,398945
"5|1|A";"33|2|A";0,398958
"16|2|A";"24|1|B";0,399553
"40|1|A";"43|1|B";0,400311
"14|2|B";"31|2|B";0,400353
"16|2|A";"36|2|A";0,400378
"22|2|B";"31|1|A";0,401435
"13|2|A";"24|1|B";0,401491
"26|1|B";"34|1|A";0,402425
"24|2|A";"32|2|A";0,402811
"6|2|A";"32|2|A";0,402947
"6|1|B";"22|1|A";0,403141
"6|2|A";"25|1|A";0,403353
"5|1|A";"42|2|B";0,403385
"12|2|A";"39|2|A";0,404177
"11|1|A";"11|2|B";0,404314
"4|1|A";"23|2|B";0,404859
"16|1|B";"20|2|B";0,404959
"22|1|A";"24|1|B";0,405252
"22|2|B";"42|1|A";0,405582
"12|2|A";"21|1|B";0,406196
"7|1|A";"33|2|A";0,406508
"26|1|B";"43|2|A";0,406698
"16|1|B";"33|2|A";0,406732
"3|2|A";"8|2|A";0,406848
"6|2|A";"26|2|A";0,406881
"5|1|A";"20|1|A";0,407364
"2|1|A";"16|2|A";0,407448
"14|1|A";"36|2|A";0,407466
"7|2|B";"44|2|B";0,407985
"16|1|B";"17|1|A";0,408002
"5|1|A";"40|1|A";0,408116
"13|2|A";"37|2|A";0,408155
"34|1|A";"35|1|A";0,408251
"9|2|A";"14|2|B";0,40835
"24|1|B";"34|1|A";0,408816
"26|2|A";"34|1|A";0,409005
"4|1|A";"39|2|A";0,40904
"36|1|B";"43|1|B";0,409493
"2|1|A";"38|1|A";0,409592
"3|1|B";"28|1|B";0,409682
"4|1|A";"6|2|A";0,409728
"36|2|A";"43|1|B";0,409766
"24|2|A";"35|1|A";0,409908
"24|2|A";"26|2|A";0,410002
"6|1|B";"12|2|A";0,41006
"7|1|A";"25|2|B";0,410162
"8|2|A";"30|1|B";0,410207
"35|2|B";"43|2|A";0,410339
"7|1|A";"21|1|B";0,410577
"24|2|A";"33|2|A";0,410746
"16|2|A";"40|1|A";0,411126
"6|2|A";"13|2|A";0,41132
"10|2|B";"44|1|A";0,411681
"22|2|B";"36|1|B";0,412427
"21|2|A";"27|2|B";0,412645
"20|1|A";"22|1|A";0,412707
"4|1|A";"11|1|A";0,412796
"2|2|B";"14|1|A";0,413057
"6|2|A";"31|2|B";0,413106
"14|2|B";"25|1|A";0,413108
"27|2|B";"41|1|B";0,413364
"40|2|B";"43|1|B";0,413516
"3|2|A";"27|2|B";0,413751
"1|2|A";"38|1|A";0,414026
"14|2|B";"20|2|B";0,414167
"16|2|A";"40|2|B";0,414339
"24|1|B";"31|2|B";0,414819
"3|1|B";"24|1|B";0,415521
"16|1|B";"25|2|B";0,415535
"7|1|A";"20|2|B";0,416639
"6|2|A";"42|2|B";0,416683
"15|2|B";"23|1|A";0,41682
"14|1|A";"35|2|B";0,417469
"1|1|B";"7|2|B";0,417751
"24|2|A";"43|2|A";0,418019
"4|1|A";"31|1|A";0,418068
"28|2|A";"34|1|A";0,418088
"5|1|A";"28|1|B";0,418403
"11|2|B";"18|2|A";0,418582
"3|2|A";"20|2|B";0,418829
"19|1|B";"27|1|A";0,419386
"21|1|B";"43|1|B";0,419608
"21|1|B";"39|2|A";0,41989
"31|2|B";"32|1|B";0,41999
"3|2|A";"44|1|A";0,419993
"31|1|A";"43|1|B";0,420096
"1|1|B";"15|2|B";0,420479
"2|2|B";"44|2|B";0,421403
"7|2|B";"40|1|A";0,421461
"12|2|A";"24|2|A";0,421462
"8|2|A";"44|1|A";0,421648
"33|2|A";"34|1|A";0,421828
"20|1|A";"40|1|A";0,421951
"12|2|A";"33|2|A";0,422187
"3|2|A";"29|2|B";0,422464
"4|1|A";"36|1|B";0,422652
"24|1|B";"42|2|B";0,422934
"24|2|A";"28|2|A";0,423005
"20|2|B";"28|1|B";0,423253
"19|1|B";"21|2|A";0,423392
"2|2|B";"44|1|A";0,423968
"5|1|A";"36|2|A";0,424297
"19|2|A";"29|2|B";0,424327
"1|1|B";"44|2|B";0,424421
"4|2|B";"42|1|A";0,425069
"32|2|A";"33|2|A";0,425165
"3|2|A";"38|1|A";0,425258
"9|2|A";"18|2|A";0,425349
